Country/Region,0
Cambodia,"[ 0.   0.   0.   0.   0.5  0.5  0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.  -0.5 -0.5  0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.5  0.5  0.   0.5  0.5  1.   2.   1.   0.  13.  14.
  2.   8.   8.  16.5 17.   2.   0.  -0.5  1.   0.  -3.   0.   2.  -1.
 -5.  -2.5 -6.  -7.5 -1.5 -3.5 -3.5  0.   3. ]"
Cameroon,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.5   0.5   0.5   0.5   0.
   0.    0.    0.    0.    0.    1.    4.    3.    1.5   5.    7.   10.
  14.5  13.    8.    3.    7.5   7.5  20.5  20.5  27.   44.5  53.5 133.5
 120.   70.   51.5  -9.   14.   27.    0. ]"
Canada,"[ 0.0000e+00  0.0000e+00  0.0000e+00  5.0000e-01  5.0000e-01  5.0000e-01
  5.0000e-01  0.0000e+00  1.0000e+00  1.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  5.0000e-01  5.0000e-01  1.0000e+00  1.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00 -5.0000e-01 -5.0000e-01  0.0000e+00  0.0000e+00
  0.0000e+00  5.0000e-01  5.0000e-01  0.0000e+00  0.0000e+00 -5.0000e-01
 -5.0000e-01  0.0000e+00  5.0000e-01  1.0000e+00  5.0000e-01 -5.0000e-01
  0.0000e+00  3.5000e+00  5.0000e+00  3.5000e+00  3.0000e+00  3.0000e+00
  3.5000e+00  8.0000e+00  7.5000e+00  6.5000e+00  1.1000e+01  7.0000e+00
  1.5500e+01  1.9000e+01  4.2500e+01  4.0500e+01  2.9500e+01  1.0650e+02
  1.1050e+02  1.1900e+02  1.5900e+02  1.4100e+02  2.3300e+02  2.5800e+02
  4.0250e+02  6.0800e+02  4.9250e+02  5.8300e+02  6.6700e+02  6.1450e+02
  6.8900e+02  9.0150e+02  5.4200e+02  6.3750e+02  1.2880e+03  9.7800e+02
  3.8650e+02  1.2010e+03  1.3925e+03  6.1050e+02  8.0600e+02  6.4150e+02
  4.0900e+02]"
Central African Republic,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.5
 0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.5
 2.5 0.  0.  0.  0.  0.  0. ]"
Chad,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.5  0.5  0.   0.   0.   1.   1.   0.   0.   0.   0.   1.   2.   1.
  0.5  0.5  0.5  0.5  0.  -0.5 -0.5  0.5  1. ]"
Chile,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.5   0.5   1.5   1.5   0.    2.    2.    2.5
   7.5   5.   10.   19.   15.5  47.   63.5  41.5  18.5  95.  146.5  97.5
 102.5 140.  190.5 188.5 222.5 281.  247.5 221.5 256.5 248.  240.5 253.5
 277.5 265.5 222.  178.  166.5 233.  258. ]"
China,"[ 9.2000e+01  1.7750e+02  3.6500e+02  5.5600e+02  7.0600e+02  1.6535e+03
  1.5485e+03  1.2790e+03  1.7705e+03  1.7610e+03  3.2155e+03  3.6600e+03
  3.2835e+03  3.5425e+03  3.0520e+03  2.8155e+03  2.4680e+03  2.1560e+03
  2.0055e+03  1.4665e+03  5.6800e+02  6.8355e+03  9.1500e+03  2.5715e+03
  5.6600e+02  3.2800e+02  5.0000e+00 -7.8350e+02 -1.5885e+03 -9.6650e+02
 -1.4830e+03 -1.6090e+03 -1.1140e+03 -1.9885e+03 -2.1330e+03 -2.2445e+03
 -2.7780e+03 -2.8625e+03 -2.4555e+03 -2.4155e+03 -2.5170e+03 -2.4830e+03
 -2.3170e+03 -1.8500e+03 -1.5355e+03 -1.6835e+03 -1.6130e+03 -1.3840e+03
 -1.4085e+03 -1.3540e+03 -1.2735e+03 -1.3675e+03 -1.3930e+03 -1.1090e+03
 -8.7650e+02 -9.0000e+02 -8.2900e+02 -6.8750e+02 -5.9150e+02 -4.6600e+02
 -3.8950e+02 -3.8450e+02 -4.0350e+02 -3.6000e+02 -3.6100e+02 -3.5500e+02
 -3.2250e+02 -3.1650e+02 -2.3600e+02 -1.6350e+02 -1.0950e+02 -1.0750e+02
 -1.3900e+02 -1.8150e+02 -1.2350e+02 -4.4500e+01 -5.7500e+01 -5.4000e+01
 -4.0000e+01]"
Colombia,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.5   0.5   0.    0.    1.
   4.    3.    2.    6.5  10.5  16.   15.   19.   18.5  17.5  47.   49.5
  38.   71.5  93.5  54.   32.5  57.5  79.5  89.5  88.5 119.  114.   89.
 101.   87.5  78.  134.  216.  175.  103. ]"
Congo (Brazzaville),"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.5  0.   0.
  1.   1.   0.   0.   0.5  0.5  0.   0.   0.   0.   7.5  7.5  0.   0.
 -0.5 -0.5  0.  10.  10.   0.   0.   6.  12. ]"
Congo (Kinshasa),"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.5  0.5  0.5  0.5  0.   0.   0.5  1.
  5.5  7.   4.   5.5  6.5  7.   5.5  2.5  0.   4.5  5.5  7.  15.5 13.
 15.  10.5  7.5  7.5  2.5 10.   7.5  0.   0. ]"
